[FAIL] 被改写的既有行恰授权清单那 6 行（多重集差全量，非抽样）  — removed=0 配对={'元数据·版本': 0, '元数据·状态格尾': 0, '元数据·版本链尾': 0, '§8.4 命令面扩大': 0, '§14.14 holder 伪代码': 0, '§15.2 实现落点': 0}
[PASS] 每行旧串在父提交恰 1 次  — {'元数据·版本': 1, '元数据·状态格尾': 1, '元数据·版本链尾': 1, '§8.4 命令面扩大': 1, '§14.14 holder 伪代码': 1, '§15.2 实现落点': 1}
[PASS] 未被点名的既有行 100% 逐字保留（全量差之外无第三方改动）  — 第三方改写行 0 行
[FAIL] 改写行的身份：元数据 3 + §8.4/§14.14/§15.2 各 1  — []
[FAIL] 落在 §1–§16 判定正文的改写行恰 3（§8.4 / §14.14 / §15.2）  — 0: []
[PASS] 纯插入行只增不改（新增行 − 改写行 == 净插入）  — added=0 removed=0 净插入=0
[FAIL] 被更正的旧串全文归零：已支持显式超时  — 本版 1 次 / 父提交 1 次
[FAIL] 被更正的旧串全文归零："EXT:" + instanceId + ":"   — 本版 1 次 / 父提交 1 次
[FAIL] 被更正的旧串全文归零：子目录仅放临时脚本，`finally` 删除  — 本版 1 次 / 父提交 1 次
[FAIL] §1–§16 新串到位且在父提交为 0：`timeout <秒> bash <fil  — 正文本版 0 次 / 父 0 次（预期≥1 且 0）
[FAIL] §1–§16 新串到位且在父提交为 0：SshUtil:368  — 正文本版 0 次 / 父 0 次（预期≥1 且 0）
[FAIL] §1–§16 新串到位且在父提交为 0：SshUtil:356  — 正文本版 0 次 / 父 0 次（预期≥1 且 0）
[FAIL] §1–§16 新串到位且在父提交为 0：进程内自增  — 正文本版 0 次 / 父 0 次（预期≥1 且 0）
[FAIL] §1–§16 新串到位且在父提交为 0：rmdir  — 正文本版 0 次 / 父 0 次（预期≥1 且 0）
[FAIL] **无第 11 处改动**：本版全文 == 父提交 + 恰那 10 处授权替换（逐字节）  — 父 1321 行 / 本版 1321 行 / 重建 1344 行
[PASS] 逐字未动：§10 V-26（holder 只认前缀）  — 1→1 行
[PASS] 逐字未动：§14.14 与任务中心的边界  — 1→1 行
[PASS] 逐字未动：§14.14 等待预算取 600 s  — 1→1 行
[PASS] 逐字未动：§14.13.3 命令行（同一事实的既有正确处）  — 1→1 行
[PASS] 逐字未动：§7.2 B-04（承键互斥判据）  — 1→1 行
[PASS] 逐字未动：§8.2 每宿主机互斥行  — 1→1 行
[PASS] 逐字未动：§4 TaskMutexManager 零改动行  — 1→1 行
[PASS] 逐字未动：§14.6 规则 4（超时/非零可区分）  — 1→1 行
[PASS] 逐字未动：§15.1 首行（相邻滞后·只报不改）  — 1→1 行
[PASS] 逐字未动：§7.2 B-13 行（相邻滞后·只报不改）  — 1→1 行
[PASS] 逐字未动：§8.4 脚本注入行（相邻滞后·只报不改）  — 1→1 行
[PASS] 逐字未动：§1 引导句 :47（相邻滞后·只报不改）  — 1→1 行
[PASS] 设计编号对称差为空（不新增、不消失）  — 父 179 / 本版 179；+[] -[]
[PASS] §1–§16 的 commit/评论 形态字面集合不变（记账区不外泄）  — +[] -[]
[PASS] MERC- 系 Issue 标识符不入判定正文  — ['MERC-3', 'MERC-8']
[PASS] 表格数：本版 = 父 + 1（只多本批 §17 自查表一张；phase1 中间态 +0）  — 73 → 73（期望 +0）
[PASS] 列数不一致行 = 0  — 父 0 / 本版 0（表 73→73 张、行 676→676）
[PASS] 缺分隔行的表 = 0  — 父 0 / 本版 0
[PASS] 无新增 URL 字面量（禁编造）  — 父 0 / 本版 0
[PASS] x.y.z 形态串集合不变（剥 code-span 后）  — +[] -[]
[PASS] 新增版本号字面量只含本版号  — 新增 []
[PASS] 无真实版号/URL/目标路径夹具（dnf-tw 侧）  — 两处新落点不提名牌夹具
[PASS] 边界（提交前）：本批改动只有 design.md；AGENTS.md 仅运行时自动注入块  — 额外文件 ['AGENTS.md']；AGENTS.md 差量含运行时块=True

== 反向对照 ref=bf0681c  PASS 26 / FAIL 12 ==
